	Narracja
114	W niskim ujęciu z perspektywy żabiej nad zastygłą taflą bagna unosi się mały humanoidalny chochlik o szarej pomarszczonej skórze, dwa krótkie zakrzywione rogi w kolorze kości słoniowej. Rozpięte skórzaste skrzydła nietoperza uchwycone są w półruchu, prawa noga wczepiona w porośniętą mchem spróchniałą kłodę, lewa zgięta w kolanie z pazurami skierowanymi w dół. Z prawej szponiastej dłoni wypada zwinięty rulon pergaminu przewiązany sznurem, opadając pionowo ku ciemnej tafli wody. W puszczy Drakwald mniejsi słudzy Chaosu nie wiedzą jeszcze, jak latać, ale wiedzą, że upuszczona depesza czasem znaczy tyle samo co dostarczona.
115	W planie półzbliżenia na wysokości oczu stoi zanurzona do pasa w wodzie humanoidalna syrena o bladoniebieskiej skórze z delikatną opalizacją. Twarz smukła o ostrych rysach, z trojgiem oczu — dwoje na zwykłej wysokości, trzecie pośrodku czoła — każde o pionowej źrenicy i świecącej bladofioletowej tęczówce. Ciemnoniebieskie pasma włosów przypominające wodorosty opadają na nagie ramiona, a smukłe dłonie z błoną pławną uniesione przed torsem wywołują drobne zniekształcenia powietrza i unoszą pojedyncze krople wody zawieszone w bezruchu. W jeziorach Mahakamu na Kontynencie syreny nie kuszą pięknem — kuszą trzecim okiem, bo jeśli patrzy na ciebie takie, zanim zdążysz zasnąć, już sen cię zabrał.
116	Na zrujnowanej brukowanej ulicy mrocznego miasta o zmierzchu trzech szczuroludzi częściowo owiniętych jest falującymi wstęgami ognia — niski przysadzisty po lewej z uniesionymi przed twarzą łapami, wysoki chudy w zardzewiałej kolczudze w centrum stojący w rozkroku, masywny mutant po prawej przykucnięty z ogniem oplatającym górne łapy i kark. Płomienie mają barwę od jaskrawej pomarańczy przy ciałach po bladoczerwoną na końcach wstęg, ich krawędzie ostre i postrzępione. Pod ich stopami pył i drobne kamyki unoszone podmuchem gorąca, w tle poszarpane na wpół zawalone kamienne ściany i zbutwiałe belki. Skaveni nie boją się ognia — boją się dopiero, gdy ogień zaczyna przypominać sobie ich imiona, co Kolegium Jasne doskonale umie sprowadzić.
117	W jasny jesienny dzień na farmie w prowincji Gavony na Innistradzie potężny parobek niesie na plecach dwa ogromne snopy siana związane grubym sznurem przerzuconym przez ramiona. Ma masywną klatkę piersiową i grube ramiona, bose stopy wbijają się głęboko w miękką glebę, gęsta rudawa broda, oczy przymrużone z cieniem zadowolenia z własnej siły. Na przedramionach i szyi ledwo widoczne drobne znaki — gęstsze niż normalnie owłosienie, żyły nieco zbyt wyraźne, paznokcie odrobinę za grube. Pod ścianą stodoły trzy pary porzuconych butów roboczych porośnięte mchem świadczą, że ktoś tu był przed nim — a pomyślność Gavony często polega na nieopowiadaniu, skąd się wzięli nowi pracownicy.
118	Ta sama farma w Gavony nocą pod pełnią księżyca — stodoła ta sama, murek ten sam, ale w srebrnym świetle wszystko wygląda inaczej. Na podwórzu stoi na czworakach wilkołak rodu Dire-strain, masywny niczym niedźwiedź z wilczą głową, rudawobrązowe futro w kolorze porannej brody parobka, na szyi przetarty rzemyk z amuletem. Bestia nie ucieka i nie czai się — stoi otwarcie, głowa uniesiona, żółte oczy spokojnie obserwujące okna domu, w których zza okiennic mruga drżące światło świecy i ledwo widoczny zarys przerażonej twarzy. Obok porzuconych przy stodole trzech par butów leżą czwarte, świeżo zrzucone, a ślady bosych stóp przechodzą płynnie w odciski wielkich pazurzastych łap — w Gavony wszyscy wiedzą, nikt nie mówi, a bestia wie, że nikt jej nie oskarży.
119	Podczas prestiżowego wyścigu Ghirapur Grand Prix na ulicach Kaladeshu zasady czystej rywalizacji szybko ustępują miejsca bezwzględnej walce o przetrwanie. Na ciasnym wirażu najeżony kolcami bolid zrzuca na tor podstępną pułapkę, która z potwornym zgrzytem wkręca się w filigranowe podwozie rywala. Pozbawiony sterowności złoty ścigacz w ułamku sekundy wzbija się w powietrze w morderczym piruecie, rozrzucając po nawierzchni kaskady eterowych iskier i połamane zębatki. Zgodnie z cyniczną maksymą Wintera, aplauz widowni zdobywa się elegancją, lecz ostateczne zwycięstwo przypada wyłącznie tym, którzy nie cofają się przed najbrudniejszym sabotażem.
120	Przez mglistą pustą dzicz Theros wędruje samotny centaur-nieumarły — Odrzucony — z ciałem o szarawo-popielatej skórze i matowym ciemnym futrem końskiej części, w szczątkach dawnej zbroi. Jego twarz zakrywa gładka pozłacana maska o pustych oczodołach — jedyny punkt jasności w ponurej sylwetce idącej wolno, z opuszczoną głową. Za nim, na szczycie niskiego wzgórza, ledwo widoczne są sylwetki żywych centaurów — jego dawny klan odchodzący w przeciwnym kierunku bez oglądania się. Przed nim w mgle rysuje się zarys ciemnych murów Asphodelu — miasta umarłych, jedynego miejsca, które przyjmie tego, komu Erebos pozwolił wrócić.
121	Na nadmorskiej świątyni Helioda na Theros — eleganckim kompleksie białych marmurowych kolumn na klifie — właśnie przelała się nadprzyrodzona fala zesłana przez Thassę. Woda spływa kaskadami po schodach i wypełnia dziedziniec po kostki, kamienny posąg gryfa zsuwa się z cokołu ku morzu, złotawa aura enchantmentu ochronnego migocze i gaśnie pod dotykiem słonej wody. Na tarasach akolici Helioda w przemoczonych białych szatach nie walczą z falą, lecz pragmatycznie zbierają z ołtarza mokre wodorosty i wyżymają ceremonialne tuniki — to nie pierwszy raz. W oddali, daleko w morzu, ledwo dostrzegalny cień ogromnej postaci pod powierzchnią oddala się po wykonaniu swojego gestu pogardy — Thassa znów splunęła na Helioda, a świątynia znów sprzątnie po niej.
122	Na kamiennym murze wiejskiej chaty na Innistradzie w żelaznym uchwytcie tkwi pochodnia — gruby okorowany kij, górna część owinięta płótnem nasączonym smołą, płonąca intensywnym ciepłym pomarańczowozłotym płomieniem. Na ostrzu pod płonącą główką wyryte są drobne ludowe amulety wiary, na ścianie obok przybity pęczek suszonego czosnku i tymianku. W kręgu światła pochodni leży druga pochodnia — zgaszona, porzucona, wypalona — ta, którą ktoś rzucił w ciemność minionej nocy, aby ocalić siebie. Tuż poza zasięgiem blasku na kamieniu widać ślady pazurów, a na bruku cień postaci, której tam fizycznie nie ma — na Innistradzie pochodnia nie oświetla świata, tylko odsuwa go o jeszcze jedną noc.
123	Na skalistym podwyższeniu przy utwardzonym trakcie handlowym Tarkiru stoi dumnie ainok z klanu Abzan — psi wojownik o piaskowozłotym futrze, w lekkim ozdobnym hełmie ze złotego metalu z małym pióropuszem. W prawej łapie dzierży długą włócznię eskortową z zielonym proporcem klanu, lewa spoczywa na sakwie z dokumentami i mapami tras. Niżej na trakcie widać karawanę — woły ciągnące załadowane wozy, obok kupcy w podróżnych szatach, drugi ainok-strażnik zamyka kolumnę. Abzańskie szlaki handlowe słyną z bezpieczeństwa, a ten znak rozpoznawczy pod grotem włóczni mówi rozbójnikom to samo, co napis na granicy cywilizowanej prowincji: dalej idzie się już na własną odpowiedzialność.
124	Na brukowanym placu pośród ravnickich ostrołukowych budynków stoi młoda ludzka kobieta o krótkich potarganych włosach i twarzy pokrytej smugami błota. Ubrana w skórzany pancerz z wytartym symbolem gildii Selesnya, w prawej dłoni trzyma zakrzywiony jednosieczny miecz oparty ostrzem o ziemię. Wokół jej lewego przedramienia oplątują się świecące szmaragdowe wici energii układające się w koncentryczne okręgi, a te same wici rozchodzą się po bruku ku dwóm innym postaciom w tle — przysadzisty brodacz z toporem po lewej, smukły elf z łukiem po prawej — obojgu oplecionym przez ten sam pulsujący zielony kontur. Przez szczelinę w ciężkich burzowych chmurach spada na nią pojedynczy promień światła, a drobne kamyki wokół jej stóp unoszą się na kilka centymetrów w górę — w Selesnyi odwaga jednego staje się natychmiast siłą wszystkich.
125	W spowitych nocnym chłodem Dolinach Anduiny w pobliżu samotnej skały Carrock niedźwiedzie z całego regionu gromadzą się na niezwykłe zgromadzenie. Pod osłoną ciemności leśne drapieżniki zbierają się wokół drewnianej siedziby Beorna, by w blasku pełni księżyca oddawać się pradawnemu, rytmicznemu tańcowi. Nawet z pozoru zwyczajny niedźwiedź nabiera w tym mistycznym kręgu niezwykłego majestatu i pierwotnej krzepy. Obserwujący to zjawisko z ukrycia czarodziej Gandalf doskonale wie, że w sercu dzikiego Śródziemia natura wciąż skrywa tajemnice niedostępne dla oczu większości śmiertelników.
126	Na skraju niebezpiecznej Dziczy na planie Eldraine samotna łuczniczka wiedzie z pozoru spokojne życie pośród leśnych stworzeń. W ciepłych promieniach porannego słońca kobieta karmi dzikie ptaki z dłoni, podziwiając ich zwinność i lekkość podniebnego lotu. Choć jej bystre oko i długi łuk czynią z niej niezrównaną strażniczkę leśnej polany, pod ludzką powłoką kryje się uśpiona klątwa wilkołaka. Gdy dzień dobiegnie końca, a mrok spowije baśniową puszczę, łagodna miłośniczka natury ulegnie zewowi bestii, zamieniając zachwyt w drapieżny szał nocnych łowów.
127	Gdy pełnia księżyca wschodzi ponad prastarym lasem Dziczy na planie Eldraine, dawna łagodność ustępuje miejsca drapieżnemu obłędowi. Spowita w strzępy myśliwskiego kaftana bestia z potężną siłą wybija się w nocne niebo, polując na wszystko, co odważy się wzbić w powietrze. Jej ostre jak brzytwa szpony z niszczycielską furią rozcinają skrzydła przelatujących nad koronami drzew leśnych wróżek, obracając ich podniebny dar w kaskadę świecącego pyłu. Za dnia podziwiająca wolność ptaków kobieta staje się w mroku bezwzględną pogromczynią przestworzy, nie pozwalając żadnej skrzydlatej istocie naruszyć ciszy swego terytorium.
128	Na mglistym starym cmentarzu pod bezksiężycowym niebem prastare kamienne nagrobki porośnięte mchem i bluszczem oświetla zimna fioletowa poświata bijąca z rozkopanej ziemi. Z płytkiego wilgotnego zagłębienia unosi się smukła humanoidalna postać owinięta w postrzępiony ziemisty całun, skóra w barwie wyblakłej gliny, puste oczodoły wypełnione nikłym fioletowym blaskiem. Obok niej z tej samej jamy wyłaniają się dwie dodatkowe pary kościstych dłoni zaciśniętych na krawędzi dołu. W głębi kadru, za zasłoną mgły, stoi Liliana Vess z jedną ręką wzniesioną ku górze — źródło nadprzyrodzonego blasku, który wywołuje z dominariańskiej ziemi każdego, kto kiedykolwiek w niej spoczął.
129	
130	
131	
132	Wysoko nad dzikim krajobrazem Zendikaru leci niewielki thopter-zwiadowca zbudowany jak mechaniczne oko pielgrzyma — okrągła obręcz z ciemnego metalu z dużą jasnoniebieską soczewką w środku, świecącą chłodnym światłem. Z boków wychodzą dwa szerokie skrzydła-żagle z łatanego płótna i skóry, a do jednego z żeber przywiązane są drobne wstążki i koraliki-talizmany. Z oka schodzi wąski promień skanujący, który rysuje na ziemi koncentryczne kręgi światła niczym mapa nakładana na teren — pod maszyną widać czerwone kaniony, ośnieżone góry, zieloną dolinę i lewitujące hedrony zawieszone pod nierealnymi kątami. Na dalekim klifie drobny obóz wędrowców z latarnią sygnałową czeka — w Zendikarze ekspedycje poruszają się nie za przewodnikiem, lecz za latającym okiem, które pamięta drogę do każdego campu.
133	Nad wzburzonymi turkusowymi wodami Morza Syren, u wybrzeży Theros, z głębi eksploduje potężny rozbryzg — masywny hippokamp wynurza się gwałtownie, przednia część ciała przypomina muskularnego białego konia o mokrej lśniącej sierści i rozwianej grzywie z wodorostów. Tylna część przechodzi w długi skręcony ogon rybi pokryty opalizującą szafirowo-zieloną łuską, uderzający w wodę i tworzący kaskadę kropel. Z nozdrzy stworzenia wydobywa się mgiełka, a przednie kopyta unoszą się nad falami. W oddali, na horyzoncie, majaczy sylwetka greckiego miasta-państwa z kolumnadami i posągiem bóstwa na przylądku — na Theros Thassa nie posyła wierzchowców każdemu, a kto widzi, jak wynurza się z fal, widział coś, co zwykle nie wypływa dla śmiertelników.
134	
135	
136	W jaskini Split-Eye Coven na fragmencie Grixis stoi wiedźma — wychudzona stara kobieta o szarawej skórze i głęboko osadzonych oczach z podwójnymi źrenicami sabatu. Przed nią, na niskim kamiennym ołtarzu, narysowany popiołem i pyłem kostnym krąg rytualny pulsuje chorobliwym światłem. Z jej lewej dłoni opada w krąg bladofioletowa smuga vis — życiowej energii czegoś, co właśnie zostało oddane — a z prawej wystrzelają ku górze ostre białe kościane odłamki, wirujące nad jej głową jako gotowe do wystrzelenia pociski. Na Grixis, gdzie energia życiowa jest najrzadszym zasobem, wiedźmy Split-Eye Coven wiedzą jedno: aby pozbawić wroga ciała, najpierw trzeba zużyć własny zapas czyjegoś życia.
137	Na ravnickim bruku stoi ciężko opancerzony wojownik w stalowej zbroi ze złotymi okuciami, twardo oparty na nogach, trzymając oburącz wielką wieżową tarczę z wytłoczonym płonącym słońcem. Przed tarczą unosi się jaskrawa żółto-pomarańczowa aura ognia, która łagodnie opływa krawędzie pancerza i rozprasza się, nie sięgając ciała. Wzdłuż brzegu tarczy pulsują świecące złote runy, a wokół postaci unoszą się gęsty dym i świetliste iskry. W gildii Boros albo na pograniczu z nią tarcza wieżowa to nie tylko kawał metalu — to potwierdzenie, że wiara i stal potrafią wspólnie stanąć w ogniu, z którego nikt inny by nie wyszedł.
138	
139	
140	Na placu treningowym koszar Sunhome Boros stoi doświadczona wojowniczka w lśniącej złotawej zbroi ze szkarłatnym płaszczem-peleryną, miecz uniesiony wysoko, lewa dłoń na biodrze w nonszalanckiej postawie. Przed nią trzy młodsze rekrutki gildii — jedna podnosi się z ziemi, otrzepując pył, druga masuje nadgarstek, trzecia wciąż kończy wypad, ale challengerka nawet na nią nie patrzy. Na kamieniach placu wirują jesienne liście w kolorystyce pomarańczy, złota i czerwieni, a na kolumnach siedzą inni legioniści obserwujący starcie z rozbawieniem. W Boros mentorstwo jest darem dla silniejszych — każde przegrane starcie z wyzywającą mistrzynią sprawia, że rekrutka następnego dnia staje silniejsza na nogach niż dzień wcześniej.
141	
142	
143	Na zielonej równinie pod lewitującymi skałami Zendikaru, pośród miasta Kabira, siedzi na grzbiecie rogato-pancernego wierzchowca dojrzały ludzki rycerz o ogorzałej twarzy i krótko przystrzyżonych siwiejących włosach. Dzierży długą włócznię z białym proporcem Kabiry, a jego postawa jest naturalnie wyprostowana, nie pozerska — po prostu jest tym, kim jest. Za nim, na równinie poniżej, rozciąga się armia zwykłych obrońców — milicja, ochotnicy, ludzie z mieczami i tarczami — a subtelna biała aura przywództwa rozchodzi się od niego falami, obejmując kolejne kręgi wojowników i zmieniając ich w coś więcej niż byli rano. Na horyzoncie białe mury miasta, a wszystko to — milicja, aura, mury — broni jednego człowieka, który już wie, że jednostka w Zendikarze znaczy mniej niż okrąg, w którym stoi.
